category,color,currentTrial,currentBlock,subject,curID,colorname
Yellow,106,0,0,1,18876,yellow
Red,30,1,0,1,18876,red
Green,150,2,0,1,18876,green
Purple,295,3,0,1,18876,purple
Orange,58,4,0,1,18876,orange
Blue,229,5,0,1,18876,blue
Pink,340,6,0,1,18876,pink
Brown,92,7,0,1,18876,brown
Brown,103,0,1,1,18876,brown
Pink,356,1,1,1,18876,pink
Orange,42,2,1,1,18876,orange
Red,15,3,1,1,18876,red
Purple,284,4,1,1,18876,purple
Green,157,5,1,1,18876,green
Blue,229,6,1,1,18876,blue
Yellow,112,7,1,1,18876,yellow
Green,154,0,0,3,19344,green
Purple,272,1,0,3,19344,purple
Pink,319,2,0,3,19344,pink
Orange,61,3,0,3,19344,orange
Yellow,117,4,0,3,19344,yellow
Blue,233,5,0,3,19344,blue
Brown,97,6,0,3,19344,brown
Red,22,7,0,3,19344,red
Red,46,0,1,3,19344,red
Blue,236,1,1,3,19344,blue
Brown,103,2,1,3,19344,brown
Pink,327,3,1,3,19344,pink
Purple,269,4,1,3,19344,purple
Yellow,113,5,1,3,19344,yellow
Orange,76,6,1,3,19344,orange
Green,157,7,1,3,19344,green
Green,158,0,0,4,19491,green
Pink,344,1,0,4,19491,pink
Brown,91,2,0,4,19491,brown
Yellow,111,3,0,4,19491,yellow
Blue,239,4,0,4,19491,blue
Red,32,5,0,4,19491,red
Orange,55,6,0,4,19491,orange
Purple,272,7,0,4,19491,purple
Blue,242,0,1,4,19491,blue
Orange,47,1,1,4,19491,orange
Yellow,108,2,1,4,19491,yellow
Purple,282,3,1,4,19491,purple
Pink,348,4,1,4,19491,pink
Green,164,5,1,4,19491,green
Brown,90,6,1,4,19491,brown
Red,41,7,1,4,19491,red
Green,151,0,0,5,19747,green
Brown,94,1,0,5,19747,brown
Orange,69,2,0,5,19747,orange
Yellow,97,3,0,5,19747,yellow
Purple,278,4,0,5,19747,purple
Red,33,5,0,5,19747,red
Blue,223,6,0,5,19747,blue
Pink,5,7,0,5,19747,pink
Purple,259,0,1,5,19747,purple
Pink,337,1,1,5,19747,pink
Blue,228,2,1,5,19747,blue
Brown,102,3,1,5,19747,brown
Yellow,84,4,1,5,19747,yellow
