isPractice,whichTest,items,order,id,setID,type,iteration,startedAngle,direction,colorOffset,currentTrial,currentBlock,reportedAngle,rt,imgNum,errorSign,curError,subject,curID,error,curTrial,stim_direction,serialSign,rejected,iteration_true,colorVal,seedID,seed,relative_pos
0,0,18,"c(0, 3, 1, 2)",0,1,fixed,1,51,ccw,154,0,1,184,2248,22,1,4,1,01,4,0,NA,NA,FALSE,1,#F43053,0,18,4
0,0,306,"c(0, 3, 2, 1)",8,1,fixed,1,45,ccw,185,0,1,230,2042,305,-1,1,3,03,-1,0,NA,NA,FALSE,1,#C756AE,8,306,-1
0,0,306,"c(0, 3, 1, 2)",8,1,fixed,1,181,ccw,247,0,1,146,5466,327,1,21,4,04,21,0,NA,NA,FALSE,1,#E23E99,8,306,21
0,0,18,"c(2, 3, 0, 1)",0,1,fixed,1,312,ccw,349,0,1,14,3340,357,1,21,11,11,21,0,NA,NA,FALSE,1,#F52573,0,18,21
0,0,306,"c(3, 1, 0, 2)",8,1,fixed,1,151,ccw,242,0,1,166,3737,312,1,6,12,12,6,0,NA,NA,FALSE,1,#D14FA8,8,306,6
0,0,162,"c(3, 0, 1, 2)",4,1,fixed,1,178,cw,5,0,1,155,3896,160,-1,2,13,13,-2,0,NA,NA,FALSE,1,#598E54,4,162,-2
0,0,126,"c(0, 3, 2, 1)",3,1,fixed,1,171,ccw,192,0,1,40,3752,128,1,2,14,14,2,0,NA,NA,FALSE,1,#84862C,3,126,2
0,0,54,"c(3, 1, 0, 2)",1,1,fixed,1,42,ccw,157,0,1,152,2346,51,-1,3,16,16,-3,0,NA,NA,FALSE,1,#E24F31,1,54,-3
0,0,306,"c(0, 2, 3, 1)",8,1,fixed,1,30,cw,25,0,1,285,2089,310,1,4,19,19,4,0,NA,NA,FALSE,1,#CE51AA,8,306,4
0,0,90,"c(1, 2, 0, 3)",2,1,fixed,1,318,cw,11,0,1,71,2965,82,-1,8,23,23,-8,0,NA,NA,FALSE,1,#C16C16,2,90,-8
0,0,18,"c(1, 2, 3, 0)",0,1,fixed,1,138,ccw,141,0,1,198,1938,21,1,3,25,26,3,0,NA,NA,FALSE,1,#F42F54,0,18,3
0,0,306,"c(1, 3, 0, 2)",8,1,fixed,1,327,cw,149,0,1,152,2778,301,-1,5,26,27,-5,0,NA,NA,FALSE,1,#C15AB1,8,306,-5
0,0,306,"c(3, 2, 0, 1)",8,1,fixed,1,98,cw,70,0,1,246,2080,316,1,10,27,28,10,0,NA,NA,FALSE,1,#D64BA5,8,306,10
0,0,342,"c(1, 2, 3, 0)",9,1,fixed,1,272,cw,220,0,1,128,2865,348,1,6,28,29,6,0,NA,NA,FALSE,1,#F22A7F,9,342,6
0,0,18,"c(0, 2, 3, 1)",0,1,fixed,1,329,ccw,100,0,1,257,2712,3,-1,15,29,30,-15,0,NA,NA,FALSE,1,#F6256B,0,18,-15
0,0,270,"c(0, 3, 1, 2)",7,1,fixed,1,44,cw,206,0,1,55,1337,261,-1,9,30,31,-9,0,NA,NA,FALSE,1,#7B7ABD,7,270,-9
0,0,198,"c(2, 0, 1, 3)",5,1,fixed,1,154,ccw,117,0,1,47,3453,196,-1,2,33,36,-2,0,NA,NA,FALSE,1,#318F86,5,198,-2
0,0,18,"c(3, 2, 0, 1)",0,1,fixed,1,293,cw,166,0,1,193,5211,359,1,19,34,37,19,0,NA,NA,FALSE,1,#F52570,0,18,19
0,0,126,"c(3, 1, 0, 2)",3,1,fixed,1,6,ccw,139,0,1,82,2808,139,1,13,37,40,13,0,NA,NA,FALSE,1,#758938,3,126,13
0,0,234,"c(1, 0, 3, 2)",6,1,fixed,1,149,ccw,109,0,1,21,4097,230,-1,4,41,45,-4,0,NA,NA,FALSE,1,#4389AC,6,234,-4
0,0,90,"c(1, 3, 0, 2)",2,1,fixed,1,87,cw,81,0,1,13,9975,94,1,4,44,49,4,0,NA,NA,FALSE,1,#B17413,2,90,4
0,0,270,"c(1, 2, 3, 0)",7,1,fixed,1,155,cw,263,0,1,4,7815,267,-1,3,46,51,-3,0,NA,NA,FALSE,1,#8677BE,7,270,-3
0,0,18,"c(0, 2, 1, 3)",0,1,fixed,1,98,ccw,332,0,1,31,1721,357,1,21,52,57,21,0,NA,NA,FALSE,1,#F52573,0,18,21
0,0,18,"c(1, 2, 0, 3)",0,1,fixed,1,41,cw,7,0,1,12,2050,19,1,1,53,58,1,0,NA,NA,FALSE,1,#F52E56,0,18,1
0,0,126,"c(1, 2, 3, 0)",3,1,fixed,1,219,ccw,262,0,1,316,4366,142,1,16,55,60,16,0,NA,NA,FALSE,1,#718A3C,3,126,16
0,0,198,"c(0, 2, 1, 3)",5,1,fixed,1,269,ccw,75,0,1,94,8209,191,-1,7,61,65,-7,0,NA,NA,FALSE,1,#348F7F,5,198,-7
0,0,306,"c(2, 1, 3, 0)",8,1,fixed,1,198,cw,37,0,1,273,4713,310,1,4,62,65,4,0,119,1,FALSE,1,#CE51AA,8,306,4
0,0,198,"c(2, 0, 1, 3)",5,1,fixed,1,82,ccw,338,0,1,179,5441,203,1,5,63,66,5,0,NA,NA,FALSE,1,#2D8E8E,5,198,5
0,0,234,"c(1, 2, 3, 0)",6,1,fixed,1,168,ccw,166,0,1,327,2993,227,-1,7,64,67,-7,0,NA,NA,FALSE,1,#3E89A9,6,234,-7
0,0,342,"c(0, 2, 1, 3)",9,1,fixed,1,3,ccw,168,0,1,196,2083,356,1,14,68,71,14,0,NA,NA,FALSE,1,#F52575,9,342,14
0,0,198,"c(3, 0, 1, 2)",5,1,fixed,1,135,cw,258,0,1,300,9576,198,-1,0,69,74,0,0,NA,NA,FALSE,1,#2F8F88,5,198,0
0,0,270,"c(0, 3, 1, 2)",7,1,fixed,1,144,cw,345,0,1,284,5055,269,-1,1,70,75,-1,0,NA,NA,FALSE,1,#8A75BE,7,270,-1
0,0,54,0:3,1,1,fixed,1,30,ccw,247,0,1,69,2857,44,-1,10,76,81,-10,0,NA,NA,FALSE,1,#E84838,1,54,-10
0,0,270,"c(3, 1, 2, 0)",7,1,fixed,1,301,cw,210,1,1,54,3859,264,-1,6,2,02,-6,1,-17,-1,FALSE,1,#8179BD,7,270,-6
0,0,126,"c(3, 0, 2, 1)",3,1,fixed,1,93,cw,129,1,1,12,3331,141,1,15,6,06,15,1,-48,-1,FALSE,1,#72893B,3,126,15
0,0,126,"c(2, 1, 3, 0)",3,1,fixed,1,61,cw,343,1,1,128,4645,111,-1,15,9,09,-15,1,159,1,FALSE,1,#9A7E1B,3,126,-15
0,0,306,"c(3, 2, 0, 1)",8,1,fixed,1,69,ccw,50,1,1,0,2787,310,1,4,10,10,4,1,123,1,FALSE,1,#CE51AA,8,306,4
