subject,english,firstLanguage,otherLanguage,gender,age
1,No,Turkish,"Arabic, 12
English, 10",female,18
2,Yes,,Mandarin- age 14,female,18
3,Yes,,Spanish age 7,female,25
4,Yes,,"Cantonese (5)
American Sign Language (18)",female,19
5,No,Cantonese,"Mandarin, 5 year olds",female,20
6,No,Russian,,female,21
7,Yes,,"Spanish, French",male,20
9,Yes,,Spanish at age 12,male,18
10,Yes,,,female,19
11,Yes,,Spanish,female,20
12,No,Japanese,English (18 years old),female,22
13,No,Mandarin Chinese ,"Mandarin Chinese, birth",female,20
14,Yes,N/A,Spanish,female,19
15,No,CHINESE,,female,21
16,Yes,,Telugu - age 5,female,20
17,Yes,,"Urdu 0
Spanish 17",female,24
18,No,Korean,"Korean 12
Chinese 12
English 15",male,19
19,Yes,,Vietnamese at around the age of 7/8.,male,20
20,No,Spanish,English - 7,female,31
21,No,Tagalog,"English, fluent from age 10.",female,28
22,No,Korean,,male,22
23,Yes,,I am not fluent in any other languages,female,20
24,Yes,,none,female,22
25,No,Chinese,,female,19
26,Yes,,,male,20
27,No,Korean,"Korean: at age of 10
English: at age of 18",male,25
28,No,Korean,"Korean, English",female,20
29,Yes,,"Cantonese (~4)
Spanish (18)",male,20
30,No,spanish,,male,27
31,No,Korean,"English-elementary school
Spanish-high school (not very fluent)",female,19
32,Yes,,,female,20
33,Yes,,Spanish/6,male,25
34,Yes,,"korean (2)
spanish (15)",male,20
35,No,Chinese,Chinese- 1 year old ,female,24
36,Yes,---,--,female,19
37,Yes,,,male,22
38,No,Spanish,"Spanish - 1st language learned
English - 8 ",male,24
39,No,Chinese,,female,26
40,No,Tagalog,English (6 years old),female,19
41,Yes,,"spanish (age 6)
",male,19
42,No,Korean ,Most fluent in English but I can still speak Korean well,female,20
44,No,Swiss German,"German (fluent at age of 7-8 yo)
French (fluent at age of 18) ",male,22
46,No,Spanish,,female,19
47,Yes,,,female,20
48,Yes,,Punjabi ,female,18
49,Yes,,Vietnamese-5,female,21
51,No,Korean,,female,19
52,Yes,,"korean, 18",female,20
53,Yes,,"Korean, since birth",male,19
55,Yes,,,female,20
56,Yes,,Vietnamese,female,19
57,No,Cantonese,"mandarin6
english6",female,24
58,Yes,,,male,21
59,Yes,,Spanish,female,19
60,No,Chinese,"Chinese, first language
English, fluent at 8 years old
German, not fluent now",female,19
61,No,Cantonese,English - 5,female,19
62,No,Spanish ,,female,20
63,No,Korean,Korean- age 3?,female,20
64,No,chinese,"Chinese 3
English 15",male,19
65,No,spanish,I know how to speak english and spanish fluently. Spanish is my native language and learned before 6 years old and learned english at age 9,male,20
66,Yes,,Spanish - Learned Spanish while learning english,male,19
68,Yes,,Korean (6),female,21
69,Yes,,,female,18
70,Yes,,"Vietnamese, 3",female,21
71,No,Spanish.,I speak both English and Spanish. I became fluent in English at around 15 years old.,female,21
72,Yes,,Punjabi at around age 15,male,21
73,Yes,,Pharsi 3,female,22
74,Yes,,,female,18
75,No,Korean,"Korean-first language
English- 15",female,21
76,No,Zokam ,"Zokam (2 year old)
Burmese (5 year old)
English (3 year old)",male,20
