subject,focalColors
1,20
1,16
1,338
1,51
1,293
1,120
1,241
1,228
1,135
1,289
1,55
1,332
2,1
2,38
2,85
2,124
2,169
2,217
2,251
2,273
2,295
2,315
2,331
2,6
2,345
2,312
2,286
2,258
2,227
2,196
2,155
2,123
2,95
2,69
2,46
2,26
3,312
3,330
3,352
3,6
3,18
3,64
3,51
3,42
3,31
3,20
3,12
3,357
3,348
3,340
3,329
3,315
3,310
3,298
3,285
3,274
3,260
3,247
3,235
3,206
3,114
3,90
3,77
3,58
3,45
3,34
3,22
3,5
4,293
4,328
4,348
4,7
4,27
4,48
4,83
4,119
4,147
4,180
4,213
4,234
4,257
4,288
4,53
4,19
4,355
4,344
4,324
4,301
4,261
4,219
4,169
4,124
4,101
4,316
5,28
5,351
5,330
6,112
6,171
6,245
6,293
6,331
6,13
6,48
6,294
6,244
6,166
6,80
6,28
6,339
7,239
7,290
7,328
7,20
7,67
7,161
7,240
7,163
7,113
7,67
7,24
7,332
7,289
9,331
9,26
9,26
9,332
9,122
9,262
9,241
9,128
10,343
10,21
10,49
10,92
10,154
10,226
10,273
10,39
10,3
10,289
10,232
10,147
10,77
11,292
11,68
11,324
11,34
11,358
11,2
11,31
11,333
11,67
11,292
11,107
11,261
11,171
11,223
11,230
11,159
11,267
11,97
12,298
12,342
12,25
12,70
12,102
12,122
12,156
12,189
12,226
12,248
12,273
12,56
12,4
12,287
12,263
12,231
12,190
12,162
12,135
12,100
13,14
13,43
13,71
13,107
13,71
13,149
13,223
13,251
13,281
13,295
13,314
13,334
13,353
13,166
13,10
13,347
13,327
13,304
13,282
13,241
13,220
13,188
13,141
13,92
13,63
13,35
14,291
14,318
14,338
14,353
14,7
14,31
14,56
14,94
14,118
14,154
14,190
14,234
14,261
14,288
14,68
14,42
14,18
14,1
14,342
14,309
14,276
14,252
14,227
14,195
14,142
14,98
15,301
15,324
15,342
15,352
15,13
15,24
15,41
15,60
15,88
15,114
15,149
15,183
15,211
15,233
15,252
15,268
15,287
15,67
15,49
15,39
15,24
15,8
15,353
15,335
15,321
15,305
15,280
15,250
15,230
15,187
15,165
15,140
15,116
15,93
15,74
16,17
16,356
16,50
16,293
16,94
16,239
16,150
16,173
16,224
16,110
16,280
16,66
16,343
16,28
17,303
17,341
18,293
18,287
18,280
18,274
18,267
18,262
18,253
18,323
18,329
18,333
18,340
18,346
18,349
18,352
18,356
18,360
18,4
18,10
18,13
18,16
18,22
18,26
18,31
18,36
18,39
18,43
18,91
18,84
18,77
18,72
18,64
18,61
18,57
18,53
18,48
18,41
18,37
18,33
18,29
18,26
18,22
18,19
18,17
18,14
18,11
