isPractice,whichTest,items,order,id,setID,type,iteration,startedAngle,direction,colorOffset,currentTrial,currentBlock,reportedAngle,rt,imgNum,errorSign,curError,subject,curID
0,0,"c(215, 295)","c(2, 0, 1, 3)",none,none,filler,0,201,cw,289,0,1,284,1615,213,-1,2,1,01
0,0,"c(129, 356)","c(2, 0, 1, 3)",none,none,filler,0,295,ccw,44,1,1,170,2293,146,1,17,1,01
0,0,"c(306, 326)","c(3, 0, 2, 1)",9,2,fixed,1,124,ccw,225,2,1,203,2498,292,-1,14,1,01
0,0,"c(272, 0)","c(1, 3, 0, 2)",none,none,filler,0,203,ccw,144,3,1,301,3106,275,1,3,1,01
0,0,"c(41, 63)","c(2, 3, 1, 0)",none,none,filler,0,304,ccw,167,4,1,146,8243,47,1,6,1,01
0,0,"c(162, 182)","c(1, 2, 3, 0)",7,2,fixed,1,149,cw,266,5,1,241,5028,147,-1,15,1,01
0,0,"c(19, 145)","c(2, 1, 0, 3)",none,none,filler,0,240,ccw,280,6,1,92,3231,348,1,31,1,01
0,0,"c(80, 189)","c(2, 1, 3, 0)",none,none,filler,0,92,ccw,36,7,1,235,2801,89,1,9,1,01
0,0,"c(234, 254)","c(0, 3, 1, 2)",8,2,fixed,1,231,cw,0,8,1,234,1593,234,-1,0,1,01
0,0,"c(211, 175)","c(0, 2, 1, 3)",none,none,filler,0,234,ccw,278,9,1,234,958,208,-1,3,1,01
0,0,"c(160, 227)","c(2, 0, 1, 3)",none,none,filler,0,234,ccw,338,10,1,225,2199,157,-1,3,1,01
0,0,"c(18, 38)","c(1, 2, 3, 0)",5,2,fixed,1,225,cw,143,11,1,225,1185,8,-1,10,1,01
0,0,"c(135, 234)","c(0, 3, 2, 1)",none,none,filler,0,225,ccw,19,12,1,209,2298,132,-1,3,1,01
0,0,"c(220, 242)","c(1, 3, 2, 0)",none,none,filler,0,209,ccw,309,13,1,213,2801,198,-1,22,1,01
0,0,"c(90, 110)","c(2, 1, 3, 0)",6,2,fixed,1,213,cw,137,14,1,309,2080,86,-1,4,1,01
0,0,"c(19, 145)","c(2, 1, 0, 3)",none,none,filler,0,240,ccw,280,6,1,92,3231,348,1,31,1,01
0,0,"c(128, 350)","c(1, 3, 0, 2)",none,none,filler,0,293,ccw,53,0,2,154,2159,153,1,25,1,01
0,0,"c(117, 334)","c(3, 0, 1, 2)",none,none,filler,0,154,cw,265,1,2,224,2277,129,1,12,1,01
0,0,"c(306, 286)","c(1, 2, 3, 0)",4,1,fixed,1,195,ccw,25,2,2,27,1923,308,1,2,1,01
0,0,"c(140, 75)","c(1, 3, 2, 0)",none,none,filler,0,27,cw,128,3,2,29,1224,157,1,17,1,01
0,0,"c(301, 10)",3:0,none,none,filler,0,29,cw,200,4,2,84,2553,284,-1,17,1,01
0,0,"c(162, 142)","c(1, 2, 0, 3)",2,1,fixed,1,84,ccw,89,5,2,87,1637,184,1,22,1,01
0,0,"c(149, 220)","c(0, 1, 3, 2)",none,none,filler,0,87,ccw,29,6,2,175,3469,156,1,7,1,01
0,0,"c(255, 46)","c(3, 1, 2, 0)",none,none,filler,0,104,ccw,183,7,2,104,661,73,1,178,1,01
0,0,"c(90, 70)","c(0, 3, 1, 2)",1,1,fixed,1,85,cw,244,8,2,199,2221,83,-1,7,1,01
0,0,"c(341, 291)","c(0, 2, 3, 1)",none,none,filler,0,182,cw,319,9,2,344,1665,303,-1,38,1,01
0,0,"c(0, 81)","c(2, 0, 1, 3)",none,none,filler,0,350,cw,173,10,2,178,1930,351,1,9,1,01
0,0,"c(234, 214)","c(1, 2, 0, 3)",3,1,fixed,1,178,ccw,140,11,2,329,2146,251,1,17,1,01
0,0,"c(111, 41)","c(0, 2, 1, 3)",none,none,filler,0,329,ccw,220,12,2,66,1527,74,-1,37,1,01
0,0,"c(62, 274)","c(0, 3, 1, 2)",none,none,filler,0,65,cw,217,13,2,215,2448,72,1,10,1,01
0,0,"c(18, -2)","c(2, 1, 3, 0)",0,1,fixed,1,204,cw,37,14,2,298,1687,335,1,43,1,01
0,0,"c(128, 350)","c(1, 3, 0, 2)",none,none,filler,0,293,ccw,53,0,2,154,2159,153,1,25,1,01
0,0,"c(255, 46)","c(3, 1, 2, 0)",none,none,filler,0,104,ccw,183,7,2,104,661,73,1,178,1,01
0,0,"c(341, 291)","c(0, 2, 3, 1)",none,none,filler,0,182,cw,319,9,2,344,1665,303,-1,38,1,01
0,0,"c(111, 41)","c(0, 2, 1, 3)",none,none,filler,0,329,ccw,220,12,2,66,1527,74,-1,37,1,01
0,0,"c(18, -2)","c(2, 1, 3, 0)",0,1,fixed,1,204,cw,37,14,2,298,1687,335,1,43,1,01
0,0,"c(205, 350)","c(0, 3, 2, 1)",none,none,filler,0,283,ccw,150,0,3,328,1787,242,1,37,1,01
0,0,"c(124, 188)","c(3, 1, 2, 0)",none,none,filler,0,328,cw,235,1,3,266,1495,141,1,17,1,01
0,0,"c(147, 167)","c(2, 1, 3, 0)",7,2,fixed,2,259,ccw,2,2,3,224,2651,134,-1,13,1,01
0,0,"c(272, 57)","c(2, 0, 1, 3)",none,none,filler,0,219,ccw,30,3,3,59,2779,271,-1,1,1,01
0,0,"c(335, 253)","c(2, 3, 0, 1)",none,none,filler,0,61,cw,172,4,3,160,1748,332,-1,3,1,01
0,0,"c(8, 28)","c(1, 2, 3, 0)",5,2,fixed,2,160,cw,165,5,3,164,1440,329,1,39,1,01
0,0,"c(185, 97)","c(0, 3, 1, 2)",none,none,filler,0,161,ccw,181,6,3,324,2139,215,1,30,1,01
0,0,"c(226, 350)","c(1, 3, 2, 0)",none,none,filler,0,327,cw,210,7,3,19,1593,229,1,3,1,01
0,0,"c(234, 254)","c(2, 1, 0, 3)",8,2,fixed,2,19,ccw,137,8,3,11,1261,212,-1,22,1,01
0,0,"c(272, 297)","c(3, 1, 0, 2)",none,none,filler,0,11,cw,116,9,3,174,2465,290,1,18,1,01
0,0,"c(267, 323)","c(3, 2, 0, 1)",none,none,filler,0,174,cw,267,10,3,6,4091,273,1,6,1,01
0,0,"c(86, 106)","c(0, 3, 2, 1)",6,2,fixed,2,6,ccw,58,11,3,224,2366,78,-1,8,1,01
0,0,"c(145, 4)","c(1, 0, 2, 3)",none,none,filler,0,224,cw,281,12,3,224,791,145,-1,0,1,01
0,0,"c(35, 86)","c(1, 3, 2, 0)",none,none,filler,0,224,ccw,37,13,3,301,1729,22,-1,13,1,01
0,0,"c(292, 312)","c(0, 3, 1, 2)",9,2,fixed,2,301,ccw,154,14,3,288,2025,278,-1,14,1,01
0,0,"c(205, 350)","c(0, 3, 2, 1)",none,none,filler,0,283,ccw,150,0,3,328,1787,242,1,37,1,01
0,0,"c(8, 28)","c(1, 2, 3, 0)",5,2,fixed,2,160,cw,165,5,3,164,1440,329,1,39,1,01
0,0,"c(185, 97)","c(0, 3, 1, 2)",none,none,filler,0,161,ccw,181,6,3,324,2139,215,1,30,1,01
0,0,"c(350, 113)","c(0, 3, 1, 2)",none,none,filler,0,288,ccw,73,0,4,288,1043,359,1,9,1,01
0,0,"c(72, 94)","c(1, 3, 2, 0)",none,none,filler,0,288,ccw,196,1,4,88,2208,76,1,4,1,01
0,0,"c(18, -2)","c(2, 1, 3, 0)",0,1,fixed,1,88,ccw,46,2,4,292,1908,22,1,4,1,01
0,0,"c(324, 342)","c(1, 0, 2, 3)",none,none,filler,0,292,ccw,174,3,4,208,2532,338,1,14,1,01
0,0,"c(45, 91)",0:3,none,none,filler,0,208,cw,107,4,4,284,2573,31,-1,14,1,01
0,0,"c(308, 288)","c(2, 1, 3, 0)",4,1,fixed,2,277,ccw,9,5,4,45,2900,306,-1,2,1,01
0,0,"c(192, 210)","c(1, 3, 2, 0)",none,none,filler,0,45,ccw,29,6,4,130,2952,201,1,9,1,01
0,0,"c(214, 314)","c(3, 0, 2, 1)",none,none,filler,0,130,cw,34,7,4,187,2936,221,1,7,1,01
0,0,"c(83, 63)","c(1, 2, 3, 0)",1,1,fixed,2,187,ccw,114,8,4,161,3000,85,1,2,1,01
0,0,"c(140, 252)","c(0, 2, 1, 3)",none,none,filler,0,161,ccw,359,9,4,212,4780,149,1,9,1,01
0,0,"c(47, 1)","c(2, 1, 0, 3)",none,none,filler,0,212,cw,19,10,4,52,2784,71,1,24,1,01
0,0,"c(251, 231)","c(0, 3, 1, 2)",3,1,fixed,2,52,ccw,11,11,4,76,2011,273,1,22,1,01
0,0,"c(62, 333)","c(3, 2, 0, 1)",none,none,filler,0,76,ccw,334,12,4,320,3213,66,1,4,1,01
0,0,"c(109, 14)","c(2, 3, 0, 1)",none,none,filler,0,320,ccw,211,13,4,51,2446,98,-1,11,1,01
0,0,"c(184, 164)","c(0, 3, 1, 2)",2,1,fixed,2,51,cw,166,14,4,51,159,217,1,33,1,01
0,0,"c(47, 1)","c(2, 1, 0, 3)",none,none,filler,0,212,cw,19,10,4,52,2784,71,1,24,1,01
0,0,"c(184, 164)","c(0, 3, 1, 2)",2,1,fixed,2,51,cw,166,14,4,51,159,217,1,33,1,01
0,0,"c(332, 112)","c(2, 3, 0, 1)",none,none,filler,0,51,cw,269,0,5,51,763,320,-1,12,1,01
0,0,"c(164, 61)","c(1, 3, 0, 2)",none,none,filler,0,51,ccw,213,1,5,332,2531,175,1,11,1,01
0,0,"c(78, 98)","c(2, 1, 0, 3)",6,2,fixed,3,332,ccw,77,2,5,221,1999,62,-1,16,1,01
0,0,"c(56, 121)","c(0, 3, 1, 2)",none,none,filler,0,221,ccw,15,3,5,281,1563,64,1,8,1,01
0,0,"c(177, 221)","c(3, 1, 2, 0)",none,none,filler,0,281,ccw,105,4,5,101,3099,154,-1,23,1,01
0,0,"c(8, 28)","c(0, 3, 2, 1)",5,2,fixed,2,101,cw,243,5,5,101,1143,344,1,24,1,01
0,0,"c(150, 247)","c(0, 3, 1, 2)",none,none,filler,0,101,cw,220,6,5,292,2217,152,1,2,1,01
0,0,"c(345, 193)","c(1, 2, 0, 3)",none,none,filler,0,294,ccw,245,7,5,143,2072,332,-1,13,1,01
0,0,"c(212, 232)","c(3, 0, 2, 1)",8,2,fixed,3,143,cw,329,8,5,207,1810,176,-1,36,1,01
0,0,"c(257, 221)","c(2, 1, 0, 3)",none,none,filler,0,201,cw,190,9,5,88,1785,278,1,21,1,01
0,0,"c(287, 311)","c(3, 0, 2, 1)",none,none,filler,0,88,ccw,319,10,5,111,1813,290,1,3,1,01
0,0,"c(134, 154)","c(1, 2, 0, 3)",7,2,fixed,3,111,cw,218,11,5,251,6307,109,-1,25,1,01
0,0,"c(310, 329)","c(2, 0, 3, 1)",none,none,filler,0,230,ccw,228,12,5,195,1348,297,-1,13,1,01
0,0,"c(343, 9)","c(1, 0, 2, 3)",none,none,filler,0,195,ccw,245,13,5,145,1562,330,-1,13,1,01
0,0,"c(278, 298)","c(3, 0, 1, 2)",9,2,fixed,3,145,cw,224,14,5,62,1814,286,1,8,1,01
0,0,"c(177, 221)","c(3, 1, 2, 0)",none,none,filler,0,281,ccw,105,4,5,101,3099,154,-1,23,1,01
0,0,"c(8, 28)","c(0, 3, 2, 1)",5,2,fixed,2,101,cw,243,5,5,101,1143,344,1,24,1,01
0,0,"c(212, 232)","c(3, 0, 2, 1)",8,2,fixed,3,143,cw,329,8,5,207,1810,176,-1,36,1,01
0,0,"c(134, 154)","c(1, 2, 0, 3)",7,2,fixed,3,111,cw,218,11,5,251,6307,109,-1,25,1,01
