isPractice,whichTest,items,order,id,setID,type,iteration,startedAngle,direction,colorOffset,currentTrial,currentBlock,reportedAngle,rt,imgNum,errorSign,curError,subject,curID,anchor,error,seedID,seed,relative_pos
0,0,306,"(3, 0, 2, 1)",9,2,fixed,1,124,ccw,225,2,1,203,2498,292,-1,14,1,01,326,-14,4,306,-14
0,0,162,"(1, 2, 3, 0)",7,2,fixed,1,149,cw,266,5,1,241,5028,147,-1,15,1,01,182,-15,2,162,-15
0,0,234,"(0, 3, 1, 2)",8,2,fixed,1,231,cw,0,8,1,234,1593,234,-1,0,1,01,254,0,3,234,0
0,0,18,"(1, 2, 3, 0)",5,2,fixed,1,225,cw,143,11,1,225,1185,8,-1,10,1,01,38,-10,0,18,-10
0,0,90,"(2, 1, 3, 0)",6,2,fixed,1,213,cw,137,14,1,309,2080,86,-1,4,1,01,110,-4,1,90,-4
0,0,306,"(1, 2, 3, 0)",4,1,fixed,1,195,ccw,25,2,2,27,1923,308,1,2,1,01,286,2,4,306,2
0,0,162,"(1, 2, 0, 3)",2,1,fixed,1,84,ccw,89,5,2,87,1637,184,1,22,1,01,142,22,2,162,22
0,0,90,"(0, 3, 1, 2)",1,1,fixed,1,85,cw,244,8,2,199,2221,83,-1,7,1,01,70,-7,1,90,-7
0,0,234,"(1, 2, 0, 3)",3,1,fixed,1,178,ccw,140,11,2,329,2146,251,1,17,1,01,214,17,3,234,17
0,0,18,"(2, 1, 3, 0)",0,1,fixed,1,88,ccw,46,2,4,292,1908,22,1,4,1,01,-2,4,0,18,4
0,0,18,"(2, 1, 0, 3)",5,2,fixed,1,153,ccw,53,2,1,294,4199,13,-1,5,2,02,38,-5,0,18,-5
0,0,306,"(3, 0, 1, 2)",9,2,fixed,1,118,cw,50,5,1,264,2874,314,1,8,2,02,326,8,4,306,8
0,0,234,"(0, 3, 1, 2)",8,2,fixed,1,229,ccw,149,8,1,322,5589,249,1,15,2,02,254,15,3,234,15
0,0,162,"(2, 1, 0, 3)",7,2,fixed,1,122,cw,205,11,1,324,2514,169,1,7,2,02,182,7,2,162,7
0,0,90,"(3, 0, 2, 1)",6,2,fixed,1,106,cw,160,14,1,303,4601,103,1,13,2,02,110,13,1,90,13
0,0,90,"(3, 0, 1, 2)",1,1,fixed,1,99,ccw,241,2,2,31,2179,88,-1,2,2,02,70,-2,1,90,-2
0,0,162,"(1, 2, 3, 0)",2,1,fixed,1,299,ccw,223,5,2,335,2737,162,-1,0,2,02,142,0,2,162,0
0,0,306,"(1, 2, 0, 3)",4,1,fixed,1,269,cw,199,8,2,99,2034,298,-1,8,2,02,286,-8,4,306,-8
0,0,18,"(3, 0, 2, 1)",0,1,fixed,1,180,cw,83,11,2,293,2306,16,-1,2,2,02,-2,-2,0,18,-2
0,0,234,"(0, 3, 1, 2)",3,1,fixed,1,244,cw,95,2,4,148,3329,243,1,9,2,02,214,9,3,234,9
0,0,18,"(3, 0, 1, 2)",5,2,fixed,1,36,ccw,151,2,1,201,5881,8,-1,10,3,03,38,-10,0,18,-10
0,0,90,"(0, 3, 1, 2)",6,2,fixed,1,81,ccw,203,5,1,81,2275,76,-1,14,3,03,110,-14,1,90,-14
0,0,162,"(2, 1, 0, 3)",7,2,fixed,1,307,cw,171,8,1,3,6562,174,1,12,3,03,182,12,2,162,12
0,0,306,"(0, 3, 2, 1)",9,2,fixed,1,1,cw,299,11,1,1,1577,300,-1,6,3,03,326,-6,4,306,-6
0,0,234,"(1, 2, 0, 3)",8,2,fixed,1,19,cw,312,14,1,280,7985,232,-1,2,3,03,254,-2,3,234,-2
0,0,306,"(0, 3, 2, 1)",4,1,fixed,1,82,ccw,163,2,2,250,6328,307,1,1,3,03,286,1,4,306,1
0,0,18,"(3, 0, 2, 1)",0,1,fixed,1,255,ccw,112,5,2,224,2556,24,1,6,3,03,-2,6,0,18,6
0,0,234,"(0, 3, 1, 2)",3,1,fixed,1,196,cw,188,8,2,42,5155,230,-1,4,3,03,214,-4,3,234,-4
0,0,162,"(0, 3, 2, 1)",2,1,fixed,1,326,ccw,41,11,2,162,4579,157,-1,5,3,03,142,-5,2,162,-5
0,0,90,"(1, 2, 3, 0)",1,1,fixed,1,38,cw,118,14,2,327,7979,85,-1,5,3,03,70,-5,1,90,-5
0,0,90,"(2, 1, 3, 0)",6,2,fixed,1,130,cw,240,2,1,219,2089,99,1,9,4,04,110,9,1,90,9
0,0,162,"(3, 0, 2, 1)",7,2,fixed,1,159,cw,229,8,1,311,2698,180,1,18,4,04,182,18,2,162,18
0,0,306,"(1, 2, 3, 0)",9,2,fixed,1,282,ccw,20,14,1,55,2180,285,-1,21,4,04,326,-21,4,306,-21
0,0,90,"(3, 0, 2, 1)",1,1,fixed,1,148,cw,21,2,2,77,3545,98,1,8,4,04,70,8,1,90,8
0,0,234,"(3, 0, 1, 2)",3,1,fixed,1,232,cw,85,5,2,141,2760,226,-1,8,4,04,214,-8,3,234,-8
0,0,306,"(2, 1, 3, 0)",4,1,fixed,1,190,cw,73,11,2,242,1774,315,1,9,4,04,286,9,4,306,9
0,0,18,"(2, 1, 3, 0)",0,1,fixed,1,314,ccw,60,14,2,270,1676,30,1,12,4,04,-2,12,0,18,12
0,0,234,"(3, 0, 2, 1)",8,2,fixed,1,335,ccw,243,14,3,230,1907,247,1,13,4,04,254,13,3,234,13
0,0,162,"(2, 1, 0, 3)",2,1,fixed,1,106,ccw,274,8,4,271,1725,175,1,13,4,04,142,13,2,162,13
0,0,18,"(3, 0, 1, 2)",5,2,fixed,1,314,cw,175,5,5,212,1923,27,1,9,4,04,38,9,0,18,9
0,0,18,"(2, 1, 3, 0)",5,2,fixed,1,21,ccw,98,2,1,260,5772,2,-1,16,5,05,38,-16,0,18,-16
0,0,90,"(2, 1, 3, 0)",6,2,fixed,1,259,ccw,53,5,1,236,3037,71,-1,19,5,05,110,-19,1,90,-19
0,0,306,"(2, 1, 0, 3)",9,2,fixed,1,147,cw,38,8,1,267,4850,305,-1,1,5,05,326,-1,4,306,-1
0,0,234,"(3, 0, 2, 1)",8,2,fixed,1,56,ccw,167,11,1,326,2917,227,-1,7,5,05,254,-7,3,234,-7
0,0,162,"(2, 1, 0, 3)",7,2,fixed,1,165,ccw,87,14,1,97,3234,176,1,14,5,05,182,14,2,162,14
